"County","State","Outbreak Date","Flock Type","Flock_Size"
"Stanislaus","California","12-05-2023","Commercial Broiler Production","239900"
"Charles Mix","South Dakota","12-05-2022","Commercial Turkey Meat Bird","34100"
"Lawrence","Alabama","12-05-2022","WOAH Non-Poultry","460"
"Buena Vista","Iowa","12-05-2022","Commercial Turkey Meat Bird","40700"
"Clark","South Dakota","12-05-2022","Commercial Turkey Meat Bird","24300"
"Sacramento","California","12-04-2024","Commercial Turkey Meat Bird","61200"
"Stanislaus","California","12-04-2024","Commercial Turkey Meat Bird","57700"
"Charles Mix","South Dakota","12-04-2024","Commercial Turkey Meat Bird","65200"
"Riverside","California","12-04-2024","WOAH Non-Poultry","70"
"Stanislaus","California","12-04-2024","Commercial Table Egg Layer","720800"
"Stanislaus","California","12-04-2024","Commercial Turkey Meat Bird","23100"
"Mcpherson","South Dakota","12-04-2023","Commercial Turkey Meat Bird","40800"
"Pottawatomie","Kansas","12-04-2023","WOAH Non-Poultry","30"
"Johnson","Arkansas","12-04-2023","Commercial Broiler Production","109000"
"Barron","Wisconsin","12-04-2023","Commercial Turkey Meat Bird","113800"
"Douglas","Kansas","12-03-2024","WOAH Non-Poultry","100"
"Adair","Oklahoma","12-03-2024","Commercial Broiler Breeder","63700"
"Utah","Utah","12-03-2024","WOAH Non-Poultry","30"
"Fresno","California","12-03-2024","Commercial Broiler Production","237100"
"Spink","South Dakota","12-03-2024","Commercial Turkey Meat Bird","41400"
"Mcpherson","South Dakota","12-03-2024","Commercial Turkey Meat Bird","78200"
"Bottineau","North Dakota","12-02-2024","WOAH Poultry","30"
"Clark","South Dakota","12-02-2022","WOAH Non-Poultry","40"
"Knox","Nebraska","12-02-2022","WOAH Non-Poultry","10"
"Union","North Carolina","12-02-2022","WOAH Non-Poultry","9"
"Darke","Ohio","12-01-2023","Commercial Turkey Meat Bird","33000"
"Woodbury","Iowa","12-01-2023","WOAH Non-Poultry","40"
"Bay","Michigan","12-01-2023","WOAH Non-Poultry","60"
"Canyon","Idaho","12-01-2023","WOAH Non-Poultry","20"
"Jackson","Missouri","12-01-2022","WOAH Non-Poultry","30"
"Lake","South Dakota","12-01-2022","Commercial Turkey Meat Bird","78000"
"Brookings","South Dakota","12-01-2022","WOAH Non-Poultry","210"
"Arkansas","Arkansas","12-01-2022","WOAH Non-Poultry","20"
"San Benito","California","11-30-2023","Commercial Duck Breeder","5000"
"Lewis And Clark","Montana","11-30-2023","WOAH Non-Poultry","6"
"Sonoma","California","11-30-2023","Commercial Table Egg Layer","82500"
"Bent","Colorado","11-30-2023","WOAH Poultry","4100"
"Minnehaha","South Dakota","11-30-2023","WOAH Non-Poultry","80"
"Charles Mix","South Dakota","11-30-2022","Commercial Turkey Meat Bird","75100"
"Grundy","Illinois","11-30-2022","WOAH Poultry","8800"
"Hamlin","South Dakota","11-30-2022","Commercial Turkey Meat Bird","50000"
"Fresno","California","11-29-2024","Commercial Broiler Production","266400"
"Gibson","Tennessee","11-29-2024","Commercial Broiler Breeder","37700"
"Fresno","California","11-29-2024","Commercial Duck Breeder","23100"
"Merced","California","11-29-2024","Commercial Turkey Meat Bird","25200"
"Tulare","California","11-29-2024","Commercial Duck Breeder","26500"
"Meeker","Minnesota","11-29-2024","Commercial Turkey Meat Bird","223800"
"Morgan","Colorado","11-29-2023","WOAH Non-Poultry","60"
"Otter Tail","Minnesota","11-29-2023","Commercial Turkey Meat Bird","18800"
"Woodbury","Iowa","11-29-2023","WOAH Non-Poultry","10"
"Becker","Minnesota","11-29-2023","Commercial Turkey Breeder Hens","23200"
"Douglas","Minnesota","11-29-2023","Commercial Turkey Meat Bird","13500"
"Carroll","Arkansas","11-29-2023","Commercial Broiler Production","81200"
"Dickey","North Dakota","11-29-2023","WOAH Poultry","130"
"Washington","Maryland","11-29-2022","Commercial Table Egg Breeder","24600"
"Spink","South Dakota","11-29-2022","Commercial Turkey Meat Bird","32900"
"Hanson","South Dakota","11-29-2022","Commercial Turkey Meat Bird","71600"
"Emmons","North Dakota","11-28-2023","WOAH Non-Poultry","60"
"Colfax","Nebraska","11-28-2023","WOAH Non-Poultry","20"
"Yankton","South Dakota","11-28-2023","Commercial Turkey Meat Bird","49000"
"Dickey","North Dakota","11-28-2023","Commercial Turkey Meat Bird","60300"
"Trempealeau","Wisconsin","11-28-2023","Commercial Turkey Meat Bird","23500"
"Sioux","Iowa","11-28-2023","Commercial Table Egg Layer","1616300"
"Mcpherson","South Dakota","11-28-2023","Commercial Turkey Meat Bird","61800"
"Trempealeau","Wisconsin","11-28-2023","Commercial Turkey Meat Bird","48700"
"Pierce","Washington","11-28-2023","WOAH Non-Poultry","540"
"Webster","Missouri","11-28-2022","Commercial Turkey Meat Bird","15100"
"Iron","Utah","11-28-2022","WOAH Poultry","3000"
"Union","Oregon","11-27-2024","WOAH Non-Poultry","30"
"Beadle","South Dakota","11-27-2024","Commercial Turkey Meat Bird","41100"
"Sanpete","Utah","11-27-2024","Commercial Turkey Meat Bird","51800"
"Ransom","North Dakota","11-27-2024","Commercial Turkey Meat Bird","59500"
"Meeker","Minnesota","11-27-2024","Commercial Turkey Meat Bird","24700"
"Faulk","South Dakota","11-27-2024","Commercial Turkey Meat Bird","56000"
"Brown","Minnesota","11-27-2023","Commercial Turkey Breeder Hens","7800"
"Sonoma","California","11-27-2023","Commercial Duck Breeder","205500"
"Matanuska Susitna","Alaska","11-26-2024","WOAH Non-Poultry","70"
"Meeker","Minnesota","11-25-2024","Commercial Turkey Meat Bird","30500"
"Durham","North Carolina","11-25-2022","WOAH Non-Poultry","30"
"Spink","South Dakota","11-25-2022","Commercial Turkey Meat Bird","55500"
"Beadle","South Dakota","11-25-2022","Commercial Turkey Meat Bird","67900"
"Matanuska Susitna","Alaska","11-25-2022","WOAH Non-Poultry","40"
"Turner","South Dakota","11-25-2022","WOAH Non-Poultry","210"
"Beadle","South Dakota","11-25-2022","Commercial Turkey Meat Bird","50700"
"Dixon","Nebraska","11-25-2022","Commercial Table Egg Layer","1700000"
"Freeborn","Minnesota","11-24-2023","WOAH Non-Poultry","8"
"Clackamas","Oregon","11-24-2023","WOAH Non-Poultry","10"
"Otter Tail","Minnesota","11-24-2023","Commercial Breeder Operation","19400"
"Kandiyohi","Minnesota","11-24-2023","Commercial Turkey Breeder Hens","7300"
"Todd","Minnesota","11-23-2022","Commercial Turkey Meat Bird","44500"
"Faulk","South Dakota","11-23-2022","Commercial Turkey Meat Bird","49900"
"Davidson","Tennessee","11-23-2022","WOAH Non-Poultry","10"
"Brule","South Dakota","11-23-2022","WOAH Non-Poultry","30"
"Columbia","Oregon","11-23-2022","WOAH Non-Poultry","30"
"Broward","Florida","11-23-2022","WOAH Non-Poultry","10"
"Merced","California","11-22-2024","Commercial Table Egg Pullets","538600"
"Mchenry","North Dakota","11-22-2024","WOAH Poultry","80"
"Trempealeau","Wisconsin","11-22-2023","Commercial Turkey Meat Bird","51300"
"Brule","South Dakota","11-22-2023","Commercial Turkey Meat Bird","45100"
"Stearns","Minnesota","11-22-2023","Commercial Turkey Meat Bird","34200"
"Otter Tail","Minnesota","11-22-2023","Commercial Turkey Meat Bird","28000"
