"Geographic Area","April 1, 2020 Estimates Base","2020","2021","2022","2023"
" Miller County, Arkansas","42,599","42,588","42,494","42,608","42,415"
" Mississippi County, Arkansas","40,682","40,538","39,534","38,863","38,663"
" Monroe County, Arkansas","6,802","6,776","6,648","6,568","6,512"
" Montgomery County, Arkansas","8,482","8,485","8,635","8,543","8,620"
" Nevada County, Arkansas","8,312","8,284","8,184","8,179","8,120"
" Newton County, Arkansas","7,228","7,196","7,167","7,101","7,071"
" Ouachita County, Arkansas","22,647","22,615","22,312","21,994","21,793"
" Perry County, Arkansas","10,018","9,997","9,995","10,073","10,184"
" Phillips County, Arkansas","16,571","16,440","15,825","15,350","14,961"
" Pike County, Arkansas","10,169","10,162","10,114","10,159","10,208"
" Poinsett County, Arkansas","22,965","22,954","22,691","22,453","22,397"
" Polk County, Arkansas","19,213","19,177","19,333","19,334","19,436"
" Pope County, Arkansas","63,384","63,410","63,778","64,053","64,593"
" Prairie County, Arkansas","8,287","8,249","8,095","8,077","8,036"
" Pulaski County, Arkansas","399,125","399,274","398,108","399,387","400,009"
" Randolph County, Arkansas","18,574","18,595","18,839","18,852","18,907"
" St. Francis County, Arkansas","23,094","23,021","22,715","22,402","22,101"
" Saline County, Arkansas","123,430","123,826","125,382","127,415","129,574"
" Scott County, Arkansas","9,838","9,834","9,795","9,796","9,851"
" Searcy County, Arkansas","7,828","7,840","7,893","7,906","7,806"
" Sebastian County, Arkansas","127,797","127,808","128,342","129,109","129,098"
" Sevier County, Arkansas","15,839","15,778","15,714","15,738","15,632"
" Sharp County, Arkansas","17,274","17,314","17,691","17,836","17,968"
" Stone County, Arkansas","12,354","12,349","12,441","12,585","12,671"
" Union County, Arkansas","39,050","38,931","38,375","37,813","37,397"
" Van Buren County, Arkansas","15,795","15,799","15,777","16,103","16,142"
" Washington County, Arkansas","245,866","246,774","251,767","256,682","261,549"
" White County, Arkansas","76,824","76,860","77,109","77,616","78,452"
" Woodruff County, Arkansas","6,272","6,224","6,146","6,057","5,964"
" Yell County, Arkansas","20,256","20,212","20,135","20,091","20,044"
" Alameda County, California","1,682,349","1,680,466","1,644,047","1,628,259","1,622,188"
" Alpine County, California","1,202","1,205","1,229","1,190","1,141"
" Amador County, California","40,471","40,525","41,228","41,493","41,811"
" Butte County, California","211,630","210,151","206,336","207,369","207,172"
" Calaveras County, California","45,284","45,348","46,249","46,556","46,565"
" Colusa County, California","21,836","21,864","21,919","21,909","22,037"
" Contra Costa County, California","1,165,930","1,166,069","1,163,941","1,157,019","1,155,025"
" Del Norte County, California","27,745","27,604","27,584","27,112","26,589"
" El Dorado County, California","191,189","191,245","193,704","192,787","192,215"
" Fresno County, California","1,008,646","1,009,552","1,013,103","1,015,359","1,017,162"
" Glenn County, California","28,921","28,904","28,718","28,360","28,129"
" Humboldt County, California","136,462","136,262","134,897","134,944","133,985"
" Imperial County, California","179,713","179,612","179,138","178,940","179,057"
" Inyo County, California","19,018","18,987","18,924","18,742","18,527"
" Kern County, California","909,229","905,910","912,709","916,751","913,820"
" Kings County, California","152,486","152,844","152,775","152,987","152,682"
" Lake County, California","68,160","68,199","68,645","68,172","67,878"
" Lassen County, California","32,733","32,315","31,885","30,020","28,861"
" Los Angeles County, California","10,013,976","9,992,813","9,809,462","9,719,765","9,663,345"
" Madera County, California","156,258","156,345","158,966","160,329","162,858"
" Marin County, California","262,321","261,306","259,278","256,154","254,407"
" Mariposa County, California","17,126","17,119","17,127","17,053","16,919"
" Mendocino County, California","91,590","91,367","91,321","90,007","89,108"
" Merced County, California","281,205","281,830","284,610","290,210","291,920"
" Modoc County, California","8,703","8,681","8,641","8,619","8,500"
" Mono County, California","13,201","13,228","13,271","13,002","13,066"
" Monterey County, California","439,035","438,322","437,158","432,884","430,723"
" Napa County, California","138,013","137,459","136,265","134,370","133,216"
" Nevada County, California","102,237","102,265","103,517","102,401","102,037"
" Orange County, California","3,186,997","3,185,734","3,160,611","3,150,372","3,135,755"
" Placer County, California","404,745","405,927","413,047","418,074","423,561"
" Plumas County, California","19,794","19,746","19,958","19,443","19,131"
" Riverside County, California","2,418,182","2,422,993","2,453,399","2,474,241","2,492,442"
" Sacramento County, California","1,585,045","1,586,566","1,588,810","1,584,380","1,584,288"
" San Benito County, California","64,210","64,530","66,709","67,643","68,175"
" San Bernardino County, California","2,181,660","2,183,391","2,193,087","2,194,908","2,195,611"
" San Diego County, California","3,298,648","3,295,298","3,274,432","3,277,176","3,269,973"
" San Francisco County, California","873,950","870,518","811,935","807,774","808,988"
" San Joaquin County, California","779,230","780,617","788,354","794,293","800,965"
" San Luis Obispo County, California","282,443","281,884","279,464","282,046","281,639"
" San Mateo County, California","764,432","762,479","739,149","728,929","726,353"
" Santa Barbara County, California","448,220","448,424","437,521","443,915","441,257"
" Santa Clara County, California","1,936,279","1,931,168","1,885,173","1,878,335","1,877,592"
" Santa Cruz County, California","270,870","270,474","260,475","264,240","261,547"
" Shasta County, California","182,158","182,002","182,135","180,937","180,366"
" Sierra County, California","3,231","3,225","3,294","3,222","3,200"
" Siskiyou County, California","44,077","43,995","44,139","43,786","42,905"
" Solano County, California","453,491","452,723","450,653","448,885","449,218"
" Sonoma County, California","488,850","488,282","484,519","482,669","481,812"
" Stanislaus County, California","552,882","553,257","552,723","551,226","551,430"
" Sutter County, California","99,636","99,479","99,152","98,569","97,948"
" Tehama County, California","65,832","65,687","65,446","65,299","64,896"
" Trinity County, California","16,114","16,091","16,082","15,778","15,670"
" Tulare County, California","473,116","473,914","477,176","477,884","479,468"
" Tuolumne County, California","55,624","55,379","55,131","54,587","54,204"
" Ventura County, California","843,840","843,371","839,471","832,871","829,590"
" Yolo County, California","216,409","216,291","213,141","222,018","220,544"
" Yuba County, California","81,578","81,958","83,227","84,353","85,722"
" Adams County, Colorado","519,578","520,500","523,544","527,509","533,365"
" Alamosa County, Colorado","16,380","16,377","16,579","16,587","16,655"
" Arapahoe County, Colorado","655,075","655,272","656,855","656,269","656,061"
" Archuleta County, Colorado","13,355","13,424","13,806","13,989","14,189"
" Baca County, Colorado","3,508","3,480","3,490","3,435","3,344"
" Bent County, Colorado","5,648","5,473","5,339","5,439","5,681"
" Boulder County, Colorado","330,759","330,938","327,084","327,339","326,831"
" Broomfield County, Colorado","74,105","74,490","75,411","76,195","76,860"
" Chaffee County, Colorado","19,476","19,484","19,741","20,265","20,617"
" Cheyenne County, Colorado","1,749","1,746","1,719","1,731","1,727"
" Clear Creek County, Colorado","9,394","9,393","9,457","9,367","9,147"
" Conejos County, Colorado","7,459","7,451","7,582","7,587","7,521"
" Costilla County, Colorado","3,497","3,502","3,613","3,615","3,628"
" Crowley County, Colorado","5,919","5,688","5,735","5,627","5,636"
" Custer County, Colorado","4,706","4,723","5,063","5,337","5,534"
" Delta County, Colorado","31,201","31,056","31,392","31,560","31,746"
" Denver County, Colorado","715,524","717,606","711,467","713,453","716,577"
" Dolores County, Colorado","2,325","2,331","2,375","2,460","2,513"
" Douglas County, Colorado","357,998","360,323","369,783","375,937","383,906"
" Eagle County, Colorado","55,718","55,657","55,774","55,218","54,381"
" Elbert County, Colorado","26,056","26,216","27,159","27,842","28,806"
" El Paso County, Colorado","730,405","732,384","737,287","740,596","744,215"
" Fremont County, Colorado","48,934","48,878","49,237","49,616","50,318"
" Garfield County, Colorado","61,686","61,794","62,107","62,256","62,707"
" Gilpin County, Colorado","5,806","5,820","5,893","5,886","5,926"
" Grand County, Colorado","15,715","15,747","15,851","15,734","15,935"
" Gunnison County, Colorado","16,921","16,950","17,294","17,320","17,321"
" Hinsdale County, Colorado","784","788","773","771","765"
" Huerfano County, Colorado","6,817","6,827","6,934","7,097","7,055"
" Jackson County, Colorado","1,381","1,379","1,359","1,314","1,309"
" Jefferson County, Colorado","582,886","583,081","580,703","575,811","576,366"
